# ra,dec,g_cmodel_mag,g_cmodel_magsigma,r_cmodel_mag,r_cmodel_magsigma,i_cmodel_mag,i_cmodel_magsigma,g_psfflux_mag,g_psfflux_magsigma,r_psfflux_mag,r_psfflux_magsigma,i_psfflux_mag,i_psfflux_magsigma,object_id,g_psfflux_flag,r_psfflux_flag,i_psfflux_flag,g_cmodel_flag,r_cmodel_flag,i_cmodel_flag,g_pixelflags_edge,r_pixelflags_edge,i_pixelflags_edge,g_pixelflags_bad,r_pixelflags_bad,i_pixelflags_bad,g_pixelflags_interpolatedcenter,r_pixelflags_interpolatedcenter,i_pixelflags_interpolatedcenter,g_pixelflags_saturatedcenter,r_pixelflags_saturatedcenter,i_pixelflags_saturatedcenter,g_pixelflags_crcenter,r_pixelflags_crcenter,i_pixelflags_crcenter
350.12905720360936,-0.6775813726186758,18.9143143,0.000809956284,18.7999687,0.000704288308,nan,nan,18.9155941,0.000801908784,18.8005924,0.000699250726,18.6937408,0.000690189539,41614470706919012,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
3.2385736165416645,1.2576179350990915,19.0213356,0.000832861697,19.107605,0.000741543772,18.9816628,0.000845902949,19.0468407,0.000814199739,19.1456776,0.000734856701,19.0426826,0.000854767859,41654340888322543,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21.12130286578269,0.935570681532944,19.5232658,0.000900198997,19.3326645,0.000905945897,,,19.566431,0.000892927637,19.4466228,0.000929241651,,,41706971417568246,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,
38.0204613160218,-1.086533627478774,17.8254051,0.000363415398,nan,nan,,,17.836647,0.000361471,18.0721092,0.000446474995,,,40691696983366700,False,False,,False,True,,False,False,,False,False,,False,False,,False,True,,False,False,
131.45251838091812,0.09549129244413829,19.3633995,0.000815042236,19.0801468,0.000834907754,18.9457779,0.000609544921,19.3596535,0.000787693134,19.0769882,0.000791292579,18.9444885,0.000605242501,42037357481837283,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
179.61227942716263,-0.11708113447454421,19.193716,0.000678928918,19.1343822,0.000628325099,18.88624,0.000518982415,19.1969814,0.000661482685,19.1428719,0.000624130946,18.8899593,0.000515739492,41108845682004373,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
184.23241339832808,1.080616567292345,18.3890724,0.000581261644,18.2071133,0.000457948423,nan,nan,18.3880234,0.000564723683,18.2092514,0.000454820984,18.3037052,0.000396472606,42190623389804789,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
190.86350507918345,3.3833317315693963,,,19.2312794,0.000785138633,,,,,19.2315426,0.000779453374,,,44341388392796849,,False,,,False,,,False,,,False,,,False,,,False,,,False,
195.47410849351698,-1.2363900342340752,18.2236557,0.000781716022,18.0680771,0.000360702979,,,18.2264233,0.000775038439,18.0709076,0.000358054705,,,41157473301715099,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,
204.0936897811408,43.45033532542372,18.8066158,0.00135091937,18.8875542,0.000770050858,,,18.8950233,0.00138270122,19.0067596,0.000796086562,,,70320511694948956,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,
